业务模块,功能模块,功能项,功能类型,KANO类型,功能点,X,Y,理由
基础公共服务,权限管理,角色管理,用户配置,魅力型需求,支持对角色进行导出,0.592,0.793,auto-generated
基础公共服务,权限管理,部门/用户组管理,用户配置,魅力型需求,支持配置不同级别的用户密码策略；,0.291,0.846,auto-generated
基础公共服务,权限管理,用户管理,用户配置,基本型需求,支持配置登录源ip白名单；,0.863,0.367,auto-generated
基础公共服务,日志管理,操作日志,售后维护,基本型需求,提供操作记录功能，可记录用户使用系统的相关信息，方便日后进行事故追溯和安全审计；,0.835,-0.202,auto-generated
基础公共服务,日志管理,联动日志,售后维护,基本型需求,支持对日志的查询功能，可根据查询条件统计查询；查询条件包括操作对象（空间、设备、测点等）、操作类型、时间、操作人员等；原则上日志不可被任何人修改；,0.837,-0.709,auto-generated
基础公共服务,系统工具,系统工具,售后维护,期望型需求,设备调试日志(收发包)记录工具,0.816,0.47,auto-generated
基础公共服务,系统配置,监控配置,售后维护,基本型需求,支持监控系统采集、处理、存储、告警、发送、策略、双机、南北向、页面、硬件（硬件RS232/RS485/AI电压型/AI电流型工作模式、串口/I/O透传）、时区、时间等监控参数配置，保证系统正常、稳定的运行；,0.957,0.148,auto-generated
基础公共服务,系统配置,在线配置,售后维护,基本型需求,支持设备控制双因子认证功能，弹窗密码、验证码和人脸识别相结合,0.88,-0.648,auto-generated
基础公共服务,系统配置,集中批量配置,售后维护,基本型需求,支持对维护过程中客户需要更改的参数（告警级别、告警阈值、告警名称、测点名称、处理意见）采用Excel导入导出方式集中批量配置修改；,0.808,0.295,auto-generated
基础公共服务,系统维护,升级,售后维护,基本型需求,支持软件升级，可按模块（软件功能模块、驱动模板等）升级，提供升级版本管理，可远程升级；,0.856,-0.42,auto-generated
基础公共服务,系统维护,备份和还原,售后维护,基本型需求,当系统或数据库出现问题时，提供快速恢复还原已备份数据的功能；,0.922,-0.321,auto-generated
基础公共服务,系统维护,系统运行记录,售后维护,基本型需求,提供系统运行记录，尤其是关键业务的异常情况记录，可协助定位问题故障，实现故障快速诊断；,0.933,-0.177,auto-generated
基础公共服务,系统维护,时间同步,售后维护,基本型需求,支持NTP网络时钟自动同步，用于同步系统内多台监控主机的时间，一台监控主机作为服务器提供标准时间，其它主机作为客户端；,0.912,-0.043,auto-generated
基础公共服务,系统维护,设备调测,售后维护,期望型需求,提供串口调测工具，支持对设备的故障调测，调试信息原始可视；,0.696,0.418,auto-generated
基础公共服务,系统维护,看门狗,售后维护,期望型需求,合入雷电a，彩虹c 的看门狗程序，页面启停开关,0.647,0.431,auto-generated
基础公共服务,系统维护,远程维护,售后维护,期望型需求,支持通过无线Modem，提供产品的远程维护；,0.913,-0.221,auto-generated
基础公共服务,系统自诊断,系统自恢复,售后维护,基本型需求,系统具备自恢复功能，当发生意外导致系统停机/宕机时，意外消除后，系统可从软硬件两个方面进行自行恢复；,0.864,-0.271,auto-generated
基础公共服务,安全管理,账户密码安全,动环面客,基本型需求,不允许账号密码相同,0.877,0.168,auto-generated
基础公共服务,安全管理,系统安全,动环面客,基本型需求,新增系统支持单点登录功能,0.778,-0.006,auto-generated
基础公共服务,系统自监控,系统自监控,动环面客,基本型需求,一体化的的自监控体系，可统一监控系统站点通信状态、本机的磁盘空间等，并能够产生告警信息,0.886,0.142,auto-generated
基础公共服务,多语言,多语言,动环面客,魅力型需求,支持中文和英文两种语言。,0.726,0.712,auto-generated
基础公共服务,系统换肤,登录页配置,用户配置,魅力型需求,背景风格多样：系统支持三种登录页背景风格，包括全局、左右和上下布局，满足不同设计需求。,0.309,0.763,auto-generated
